ibge7,CNPJ,UF,Município,Processo,Protocolo,Ano,Nº Siafi,Nº município no Siafi,Nº Termo de Compromisso,Cobrade,Data Envio,Valor Custo,Valor Liberado,Plano Interno,PTRES,PT,Fonte,GND,MP - Nº da lei,Data Empenho,Valor Empenhado,Data Dou,Fim vigência,Status,Nº de pessoas atendidas,Parcela 1,Parcela 2,Parcela 3,tempo_medio_analise,tempo_medio_liberacao
3300407,28695658000184,RJ,Barra Mansa,59053.010152/2023-42,REC-RJ-3300407-20230530-01,2023,5807,5807,1AAWEP,13214,2023-06-07,20518195.05,17483107.54,RJ5807HRCH0,237696.0,06.182.2218.22BO.6500,300,444042,01.191,2023-11-03,17483107.54,2025-01-22,22/01/2026,ACOMPANHAMENTO - ANÁLISE DO TÉCNICO - LIBERAÇÃO DE PARCELAS,476,5244932.26,6993243.02,5244932.26,149 days,446 days
3202603,27165646000185,ES,Iconha,59053.003416/2020-69,REC-ES-3202603-20200221-03,2020,5651,5651,1AACZM,12100,2020-02-28,4134370.55,4134370.55,ES5651PRCH0,185432.0,06.182.2218.22BO.6500,188,444042,00.920,2020-04-28,4134370.55,2020-12-15,14/12/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,28250,1240311.16,2894059.39,,60 days,231 days
3118601,18715508000131,MG,Contagem,59053.003791/2020-17,REC-MG-3118601-20200708-19,2020,4371,4371,1AAEJK,13214,2020-07-09,1751394.19,1751394.19,MG4371PRCH0,185432.0,06.182.2218.22BO.6500,188,444042,14.014,2020-09-03,1751394.19,2021-04-09,08/04/2022,ACOMPANHAMENTO - RECURSO TRANSFERIDO,380,525418.26,1225975.93,,56 days,218 days
4312609,88224712000135,RS,Muçum,59053.011452/2023-49,REC-RS-4312609-20231013-03,2023,8753,8753,1AARBD,13214,2023-10-15,9606754.1,9606754.1,RS8753HRCH0,195657.0,06.182.2218.22BO.6500,300,444042,01.188,2023-12-12,9606754.1,2024-02-28,27/02/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,100,2882026.23,3842701.64,2882026.23,58 days,78 days
4215455,95780458000117,SC,Sangão,59053.001608/2018-16,REC-SC-4215455-20180227-01,2018,5547,5547,693977,13215,2018-03-06,177758.65,177758.65,SC5547PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-06-06,177758.65,2018-06-12,12/06/2019,ACOMPANHAMENTO - RECURSO TRANSFERIDO,800,177758.65,,,92 days,6 days
3148707,18414565000180,MG,Pedra Azul,59053.005876/2021-11,REC-MG-3148707-20211227-01,2021,4973,4973,1AAMMJ,13214,2021-12-28,1314761.84,1314761.84,MG4973HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-06-20,1314761.84,2023-05-16,14/05/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,250,394428.55,920333.29,,174 days,330 days
3117603,18315200000107,MG,Conceição do Pará,59053.006365/2022-99,REC-MG-3117603-20220210-01,2022,4351,4351,1AAPGQ,12300,2022-02-22,2410340.59,1343365.3,MG4351HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-03-23,1343365.3,2023-11-14,12/11/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2000,403009.59,940355.71,,29 days,601 days
4320404,88597984000180,RS,Serafina Corrêa,59053.011311/2023-26,REC-RS-4320404-20230929-01,2023,8909,8909,1AAQIB,13214,2023-10-02,627176.7,627176.7,RS8909Hrch0,195657.0,06.182.2218.22BO.6500,300,444042,01.188,2023-11-24,627176.7,2023-12-27,26/12/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,29610,627176.7,,,53 days,33 days
3144672,1613169000180,MG,Nova Belém,59053.014752/2024-61,REC-MG-3144672-20240321-01,2024,662,662,1AATNR,13214,2024-03-22,559990.0,559990.0,MG0662HRCH0,247830.0,06.182.2218.22BO.6500,300,444042,01.214,2024-05-27,559990.0,2024-08-28,28/08/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,500,559990.0,,,66 days,93 days
5006259,37226644000102,MS,Novo Horizonte do Sul,59053.001666/2018-40,REC-MS-5006259-20180406-02,2018,159,159,697812,13214,2018-04-13,774980.78,774980.78,MS0159PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-12-17,774980.78,2019-07-30,29/07/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,800,774980.78,,,248 days,225 days
4321626,94706124000130,RS,Travesseiro,59053.015711/2024-91,REC-RS-4321626-20240512-02,2024,6037,6037,1AAVBS,13214,2024-05-13,1124500.0,1124500.0,RS6037HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-06-05,1124500.0,2024-11-26,26/11/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,4304,337350.0,787150.0,,23 days,174 days
3170503,18316281000151,MG,Urucânia,59053.001523/2018-38,REC-MG-3170503-20180117-01,2018,5409,5409,698346,12100,2018-02-07,2020265.11,2020265.11,MG5409PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-12-17,2020265.11,2019-10-25,24/10/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,8390,606079.53,1414185.58,,313 days,312 days
3541505,46476131000140,SP,Presidente Venceslau,59053.000421/2017-14,REC-SP-3541505-20170512-03,2017,6931,6931,692702,13214,2017-05-12,67510.55,67510.55,SP6931PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-12-04,67510.55,2017-11-29,29/11/2018,ACOMPANHAMENTO - RECURSO TRANSFERIDO,10,67510.55,,,206 days,-5 days
4319711,87934675000196,RS,São Valentim do Sul,59053.011831/2023-39,REC-RS-4319711-20231110-01,2023,5997,5997,1AAUAL,13214,2023-11-16,31377667.0,24489884.26,RS0000HRCH0,238109.0,06.182.2318.22BO.6500,300,443042,01.204,2024-03-21,24489884.26,2024-10-09,09/10/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,3000,7346965.28,9795953.7,7346965.28,126 days,202 days
3202454,27744150000166,ES,Ibatiba,59053.003561/2020-40,REC-ES-3202454-20200422-01,2020,5709,5709,1AABKI,13214,2020-04-23,694304.71,694304.71,ES5709PRCH0,185432.0,06.182.2218.22BO.6500,188,444042,00.920,2020-06-17,694304.71,2020-08-27,26/08/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,183,694304.71,,,55 days,71 days
5103056,1310499000104,MT,Cláudia,59053.001904/2018-17,REC-MT-5103056-20180612-01,2018,9789,9789,699727,13214,2018-06-15,3600000.0,3600000.0,MT0000PRCH0,0.0,06.182.0000.0000.0000,0,0,00.000,2018-12-17,3600000.0,2020-02-20,18/02/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1600,1080000.0,2520000.0,,185 days,430 days
3123304,18128249000142,MG,Dores do Turvo,59053.003490/2020-85,REC-MG-3123304-20200312-01,2020,4465,4465,1AABFK,13214,2020-03-17,588191.02,588191.02,MG4465PCHU0,185432.0,06.182.2218.22BO.6500,188,444042,00.920,2020-05-07,588191.02,2020-08-04,04/08/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2932,588191.02,,,51 days,89 days
3121902,18128280000183,MG,Divinésia,59053.009736/2023-75,REC-MG-3121902-20230411-01,2023,4437,4437,1AAQZI,13214,2023-04-17,236178.55,236178.55,MG4437HRCH0,185432.0,06.182.2218.22BO.6500,300,444042,01.180,2023-09-21,236178.55,2024-02-29,28/02/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,115,236178.55,,,157 days,161 days
4314100,87612537000190,RS,Passo Fundo,59053.011393/2023-17,REC-RS-4314100-20230914-01,2023,8785,8785,1AAVIA,13214,2023-10-11,584907.61,584907.61,RS8785HRCH0,195657.0,06.182.2218.22BO.6500,300,444042,01.188,2023-11-24,584907.61,2024-12-16,16/12/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,850,584907.61,,,44 days,388 days
3138906,18404921000185,MG,Machacalis,59053.010571/2023-84,REC-MG-3138906-20230720-02,2023,4777,4777,1AAXHZ,13214,2023-07-20,954966.12,954966.09,MG4777HRCH0,247830.0,06.182.2318.22BO.6500,300,444042,01.214,2024-08-13,954966.09,2025-05-07,07/05/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,35,954966.09,,,390 days,267 days
4211306,83102855000150,SC,Navegantes,59053.000041/2016-07,REC-SC-4211306-20161125-01,2016,8221,8221,691883,13112,2016-11-28,1416100.45,1416100.45,SC8221PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-10-18,1416100.45,2017-10-17,17/10/2018,ARQUIVADO - PLANO DE TRABALHO EXCLUÍDO,12280,424830.14,991270.32,,324 days,-1 days
4305504,88202437000159,RS,Ciríaco,59053.007477/2022-67,REC-RS-4305504-20220614-02,2022,8607,8607,1AAKHE,12200,2022-06-22,428739.86,428739.86,RS8607HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-07-06,428739.86,2022-09-22,21/09/2023,ACOMPANHAMENTO - RECURSO TRANSFERIDO,335,428739.86,,,14 days,78 days
4318051,92406453000130,RS,São Domingos do Sul,59053.011251/2023-41,REC-RS-4318051-20230911-01,2023,7351,7351,1AAPJH,13214,2023-09-25,759525.67,759525.67,RS7351HRCH0,195657.0,06.182.2218.22BO.6500,300,444042,01.188,2023-10-17,759525.67,2023-11-23,22/11/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,200,759525.67,,,22 days,37 days
4306007,87613147000135,RS,Crissiumal,59053.016952/2024-58,REC-RS-4306007-20240527-01,2024,8617,8617,1AAUAY,13214,2024-06-07,350000.0,350000.0,RS8617HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-07-22,350000.0,2024-10-10,10/10/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,150,350000.0,,,45 days,80 days
4302006,87612735000154,RS,Barros Cassal,59053.013973/2024-11,REC-RS-4302006-20240202-01,2024,8539,8539,1AAVJY,12200,2024-02-15,1339100.0,1339100.0,RS8539HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-05-21,1339100.0,2024-12-16,16/12/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2409,401730.0,937370.0,,96 days,209 days
4306502,88601943000110,RS,Dom Feliciano,59053.012454/2023-55,REC-RS-4306502-20231212-01,2023,8627,8627,1AAVSQ,13214,2023-12-13,463276.07,463276.07,RS8627HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-05-21,463276.07,2024-12-24,24/12/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,800,463276.07,,,160 days,217 days
3156700,18715441000135,MG,Sabará,59053.006433/2022-10,REC-MG-3156700-20220215-01,2022,5133,5133,1AAKSM,13214,2022-03-07,4628281.78,4628281.78,MG5133HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-06-08,4628281.78,2022-11-10,09/11/2023,ACOMPANHAMENTO - RECURSO TRANSFERIDO,54500,1388484.53,3239797.25,,93 days,155 days
3141504,18505347000151,MG,Mendes Pimentel,59053.009614/2023-89,REC-MG-3141504-20230323-01,2023,4829,4829,1AARJK,13214,2023-03-29,346001.54,346001.54,MG4829HTCH2,204907.0,06.182.2218.22BO.0001,100,444042,14.535,2023-06-26,346001.54,2024-04-05,05/04/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,3000,346001.54,,,89 days,284 days
3200300,27142686000101,ES,Alfredo Chaves,59053.015011/2024-05,REC-ES-3200300-20240410-01,2024,5605,5605,1AAUQT,13214,2024-04-12,316782.09,316782.09,ES5605HRCH0,247830.0,06.182.2218.22BO.6500,300,444042,01.214,2024-07-30,316782.09,2024-11-11,11/11/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,300,316782.09,,,109 days,104 days
3302601,29138310000159,RJ,Mangaratiba,59053.002703/2019-18,REC-RJ-3302601-20190506-01,2019,5851,5851,699802,13214,2019-05-08,1668446.26,1515694.2,RJ5851PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.808,2019-12-03,1515694.2,2020-03-10,09/03/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,300,454708.26,1060985.94,,209 days,98 days
3102308,16725392000196,MG,Alvinópolis,59053.006434/2022-64,REC-MG-3102308-20220307-01,2022,4045,4045,1AAPGT,13214,2022-03-07,1223149.3,1223149.3,MG4045HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-12-23,1223149.3,2023-11-17,15/11/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,55,366944.79,856204.51,,291 days,329 days
4208708,82960758000136,SC,Jacinto Machado,59053.021252/2025-66,REC-SC-4208708-20250202-01,2025,8171,8171,1AAYWM,13214,2025-02-03,1548800.0,1548800.0,SC8171HRCH2,236517.0,06.182.2318.22BO.0001,100,444042,00.000,2025-03-12,1548800.0,2025-08-01,01/08/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1000,464640.0,1084160.0,,37 days,142 days
3130200,18313825000121,MG,Igaratinga,59053.006360/2022-66,REC-MG-3130200-20220218-01,2022,4603,4603,1AAIYD,13214,2022-02-21,851558.67,851588.67,MG4603HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-03-30,851588.67,2022-05-26,25/05/2023,ACOMPANHAMENTO - RECURSO TRANSFERIDO,500,851588.67,,,37 days,57 days
4122008,75963256000101,PR,Rio Azul,59053.000507/2017-47,REC-PR-4122008-20170530-01,2017,7817,7817,692705,12200,2017-06-08,478125.0,478125.0,PR7817PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-12-08,478125.0,2018-01-12,12/01/2019,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1600,478125.0,,,183 days,35 days
4308300,87612768000102,RS,Fontoura Xavier,59053.016193/2024-23,REC-RS-4308300-20240513-01,2024,8663,8663,1AAUXI,13214,2024-05-22,10560560.59,10560560.59,RS8663HRCH0,249096.0,06.182.2318.22BO.6504,300,444042,01.244,2024-06-05,10560560.59,2024-11-26,26/11/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1644,3168168.18,4224224.24,3168168.18,14 days,174 days
3120607,18313007000129,MG,Crucilândia,59053.009211/2023-30,REC-MG-3120607-20230118-01,2023,4411,4411,1AAOAS,13214,2023-01-24,149261.91,149432.55,MG4411HRCH2,204907.0,06.182.2218.22BO.0001,100,444042,14.535,2023-04-18,149432.55,2023-09-04,03/09/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,300,149432.55,,,84 days,139 days
3152105,23804149000129,MG,Ponte Nova,59053.001584/2018-03,REC-MG-3152105-20180215-01,2018,5041,5041,697350,13214,2018-03-02,239000.0,239000.0,MG5041PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-10-16,239000.0,2019-05-14,13/05/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,330,239000.0,,,228 days,210 days
5107107,15024029000180,MT,São José dos Quatro Marcos,59053.000600/2017-51,REC-MT-5107107-20170517-01,2017,8993,8993,697394,13214,2017-06-30,1064333.24,1064333.24,MT8993PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.587,2018-10-16,1064333.24,2019-05-16,15/05/2020,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1480,319299.97,745033.27,,473 days,212 days
4317251,91987719000113,RS,Santa Tereza,59053.015991/2024-38,REC-RS-4317251-20240517-01,2024,8849,8849,1AAUSF,13214,2024-05-20,4978500.0,4978500.0,RS8849HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-05-29,4978500.0,2024-11-14,14/11/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1555,1493550.0,3484950.0,,9 days,169 days
4202602,82777343000121,SC,Bom Retiro,59053.000816/2017-17,REC-SC-4202602-20170808-01,2017,8049,8049,693848,13214,2017-08-25,328965.99,328965.99,SC8049PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-11-30,328965.99,2018-06-01,01/06/2019,ACOMPANHAMENTO - RECURSO TRANSFERIDO,1823,328965.99,,,97 days,183 days
3151909,18334318000174,MG,Pocrane,59053.000341/2017-69,REC-MG-3151909-20170303-01,2017,5037,5037,693558,13214,2017-04-25,894328.94,894328.94,MG5037PCHU1,128816.0,06.182.2040.22BO.0001,100,444042,13.414,2017-12-26,894328.94,2018-04-19,19/04/2019,ACOMPANHAMENTO - RECURSO TRANSFERIDO,4800,894328.94,,,245 days,114 days
3101508,17709197000135,MG,Além Paraíba,59053.004733/2021-83,REC-MG-3101508-20210503-01,2021,4029,4029,1AAIOJ,13214,2021-05-14,173978.7,173978.7,MG4029PRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2021-07-22,173978.7,2022-04-29,28/04/2023,ACOMPANHAMENTO - RECURSO TRANSFERIDO,6,173978.7,,,69 days,281 days
3168002,18017384000110,MG,Taiobeiras,59053.006366/2022-33,REC-MG-3168002-20220127-01,2022,5359,5359,1AAMZK,13214,2022-02-23,998641.62,998641.62,MG5359HRCH0,213102.0,06.182.2218.22BO.6500,300,444042,01.102,2022-07-19,998641.62,2023-07-03,01/07/2024,ACOMPANHAMENTO - RECURSO TRANSFERIDO,63,998641.62,,,146 days,349 days
1302702,4197166000109,AM,Manicoré,59053.012872/2023-42,REC-AM-1302702-20231205-02,2023,257,257,1AAWVM,11420,2023-12-23,7949879.4,7949879.4,AM0257HROU0,247830.0,06.182.2318.22BO.6500,300,444042,01.214,2024-08-26,7949879.4,2025-03-10,10/03/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,300,2384963.82,3179951.76,2384963.82,247 days,196 days
4313300,91618439000138,RS,Nova Prata,59053.018849/2024-42,REC-RS-4313300-20240728-03,2024,8769,8769,1AAYTU,12200,2024-07-29,487721.34,487721.34,RS8769HROU0,249096.0,06.182.2318.22BO.6504,300,444042,01.244,2024-10-24,487721.34,2025-07-25,25/07/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,8595,487721.34,,,87 days,274 days
3555406,46482857000196,SP,Ubatuba,59053.001795/2018-38,REC-SP-3555406-20180426-01,2018,7209,7209,1AACRV,13214,2018-05-21,1086377.06,1086377.06,SP7209PRCH1,128816.0,06.182.2040.22BO.0001,100,444042,13.808,2019-12-16,1086377.06,2020-12-07,06/12/2021,ACOMPANHAMENTO - RECURSO TRANSFERIDO,175,325913.12,760463.94,,574 days,357 days
4313003,88600655000141,RS,Nova Bréscia,59053.016655/2024-11,REC-RS-4313003-20240601-03,2024,8763,8763,1AATYF,13214,2024-06-01,394766.72,394766.72,RS8763HRCH0,249096.0,06.182.2318.22BO.6504,300,444042,01.244,2024-06-17,394766.72,2024-10-02,02/10/2025,ACOMPANHAMENTO - RECURSO TRANSFERIDO,85,394766.72,,,16 days,107 days
4309951,92406263000113,RS,Ibirapuitã,59053.016232/2024-92,REC-RS-4309951-20240516-01,2024,7299,7299,1AAYWV,13214,2024-05-23,845000.0,845000.0,RS7299HRCH0,248242.0,06.182.2318.22BO.6504,300,444042,01.218,2024-05-29,845000.0,2025-08-05,05/08/2026,ACOMPANHAMENTO - RECURSO TRANSFERIDO,995,845000.0,,,6 days,433 days
3122504,18080283000194,MG,Dom Cavati,59053.005133/2021-32,REC-MG-3122504-20210715-01,2021,4449,4449,1AAGLM,13215,2021-07-16,565555.0,565555.0,MG4449PRCH0,195657.0,06.182.2218.22BO.6500,329,444042,01.030,2021-08-30,565555.0,2021-12-08,07/12/2022,ACOMPANHAMENTO - RECURSO TRANSFERIDO,2000,565555.0,,,45 days,100 days
3301801,29079480000100,RJ,Engenheiro Paulo de Frontin,59053.015431/2024-83,REC-RJ-3301801-20240402-01,2024,5835,5835,1AAXTL,13214,2024-05-02,2349257.2,2349257.2,RJ5835HRCH2,236517.0,06.182.2318.22BO.0001,100,444042,00.000,2024-07-29,2349257.2,2025-05-23,23/05/2026,ACOMPANHAMENTO - ANÁLISE DO DIRETOR - LIBERAÇÃO DE PARCELAS,2744,704777.16,1644480.04,,88 days,298 days
